Symbol,Company_name
,
HDFCLIFE.NS,HDFC Life Insurance Company Limited
NTPC.NS,NTPC Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
ULTRACEMCO.NS,UltraTech Cement Limited
BHARTIARTL.NS,Bharti Airtel Limited
LT.NS,Larsen & Toubro Limited
GAIL.NS,GAIL (India) Limited
TATASTEEL.NS,Tata Steel Limited
ONGC.NS,Oil and Natural Gas Corporation Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
GRASIM.NS,Grasim Industries Limited
TITAN.NS,Titan Company Limited
SHREECEM.NS,Shree Cement Limited
ITC.NS,ITC Limited
BAJFINANCE.NS,Bajaj Finance Limited
BAJAJFINSV.NS,Bajaj Finserv Limited
HEROMOTOCO.NS,Hero MotoCorp Limited
COALINDIA.NS,Coal India Limited
NESTLEIND.NS,Nestlé India Limited
HINDALCO.NS,Hindalco Industries Limited
MARUTI.NS,Maruti Suzuki India Limited
TCS.NS,Tata Consultancy Services Limited
TECHM.NS,Tech Mahindra Limited
CIPLA.NS,Cipla Limited
ICICIBANK.NS,ICICI Bank Limited
BRITANNIA.NS,Britannia Industries Limited
WIPRO.NS,Wipro Limited
RELIANCE.NS,Reliance Industries Limited
INDUSINDBK.NS,IndusInd Bank Limited
